
 stud_id                              | stud_name | book_name  | book_id | doi      | counter_value
--------------------------------------+-----------+------------+---------+----------+---------------
 2fc7ad5a-1a87-490c-a15a-3227afbeb0c8 |    meghna |        BDA |       1 | 1/2/2020 |             1
 3b00ce2a-5836-4047-ab30-3764baa2e1cf |     Ayush | Hardy boys |       1 | 1/2/2020 |             1
 cdd43759-bc64-4119-91bf-3e9ec59ca966 |    Anjali |    malgudi |       1 | 1/2/2020 |             1
 a56165fc-11c0-4e47-ba0b-e4ad8dd7b69d |    meghna |        BDA |       1 | 1/2/2020 |             1

(4 rows)

 stud_id                              | stud_name | book_name  | book_id | doi      | counter_value
--------------------------------------+-----------+------------+---------+----------+---------------
 2fc7ad5a-1a87-490c-a15a-3227afbeb0c8 |    meghna |        BDA |       1 | 1/2/2020 |             1
 3b00ce2a-5836-4047-ab30-3764baa2e1cf |     Ayush | Hardy boys |       1 | 1/2/2020 |             1
 cdd43759-bc64-4119-91bf-3e9ec59ca966 |    Anjali |    malgudi |       1 | 1/2/2020 |             1
 a56165fc-11c0-4e47-ba0b-e4ad8dd7b69d |    meghna |        BDA |       1 | 1/2/2020 |             1

(4 rows)

 stud_id | stud_name | book_name | book_id | doi | counter_value
---------+-----------+-----------+---------+-----+---------------

(0 rows)
